ChannelNameE,ChannelCode,CRS Donor name,CRS Donor code,de_donorcode
International drug purchase facility,30010,N/A,N/A,N/A
"Multilateral Organisations, Other",40999,N/A,N/A,N/A
Convention to Combat Desertification,41101,N/A,N/A,N/A
Desert Locust Control Organisation for Eastern Africa,41102,N/A,N/A,N/A
Economic Commission for Africa,41103,N/A,N/A,N/A
Economic Commission for Latin America and the Caribbean,41104,N/A,N/A,N/A
Economic and Social Commission for Asia and the Pacific,41106,N/A,N/A,N/A
International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),41107,International Atomic Energy Agency,944,1UN005
International Fund for Agricultural Development,41108,IFAD,988,1UN004
Joint United Nations Programme on HIV/AIDS,41110,UNAIDS,971,1UN013
United Nations Capital Development Fund,41111,UN Capital Development Fund,1039,1UN008
United Nations Conference on Trade and Development,41112,United Nations Conference on Trade and Development,962,1UN020
United Nations Development Programme,41114,UNDP,959,1UN014
United Nations Environment Programme,41116,UNEP,807,1UN016
United Nations Population Fund,41119,UNFPA,974,1UN017
United Nations Human Settlement Programme,41120,N/A,N/A,N/A
United Nations Office of the High Commissioner for Refugees,41121,UNHCR,967,1UN018
United Nations Children's Fund,41122,UNICEF,963,1UN019
United Nations Industrial Development Organisation,41123,United Nations Industrial Development Organization,1406,1UN021
United Nations Institute for Training and Research,41125,N/A,N/A,N/A
United Nations Mine Action Service,41126,N/A,N/A,N/A
United Nations Office of Co-ordination of Humanitarian Affairs,41127,N/A,N/A,N/A
United Nations Office on Drugs and Crime,41128,UN Office on Drugs and Crime,1040,1UN032
United Nations Research Institute for Social Development,41129,N/A,N/A,N/A
United Nations Relief and Works Agency for Palestine Refugees in the Near East,41130,UNRWA,964,1UN022
United Nations System Staff College,41131,N/A,N/A,N/A
United Nations University (including Endowment Fund),41134,N/A,N/A,N/A
United Nations Volunteers,41135,N/A,N/A,N/A
United Nations Voluntary Fund on Disability,41136,N/A,N/A,N/A
United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,41137,N/A,N/A,N/A
United Nations Voluntary Fund for Victims of Torture,41138,N/A,N/A,N/A
World Food Programme,41140,WFP,966,1UN024
United Nations Peacebuilding Fund,41141,UN Peacebuilding Fund,923,1UN011
United Nations Democracy Fund,41142,N/A,N/A,N/A
World Health Organisation - core voluntary contributions account,41143,World Health Organisation,928,1UN026
International Labour Organisation - Regular Budget Supplementary Account,41144,International Labour Organisation,940,1UN006
International Maritime Organization - Technical Co-operation Fund,41145,N/A,N/A,N/A
United Nations Entity for Gender Equality and the Empowerment of Women,41146,UN Women,1046,1UN012
Central Emergency Response Fund,41147,Central Emergency Response Fund,1020,1UN001
"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",41148,N/A,N/A,N/A
United Nations Development Coordination Office,41149,UN Development Coordination Office,1057,1UN030
United Nations Institute for Disarmament Research,41150,UN Institute for Disarmament Research,1038,1UN010
International Agency for Research on Cancer,41151,N/A,N/A,N/A
Food and Agricultural Organisation,41301,Food and Agriculture Organisation,932,1UN003
International Labour Organisation - Assessed Contributions,41302,International Labour Organisation,940,1UN006
International Telecommunications Union,41303,N/A,N/A,N/A
"United Nations Educational, Scientific and Cultural Organisation",41304,N/A,N/A,N/A
United Nations,41305,N/A,N/A,N/A
Universal Postal Union,41306,N/A,N/A,N/A
World Health Organisation - assessed contributions,41307,World Health Organisation,928,1UN026
World Intellectual Property Organisation,41308,N/A,N/A,N/A
World Meteorological Organisation,41309,N/A,N/A,N/A
"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",41310,N/A,N/A,N/A
International Atomic Energy Agency - assessed contributions,41312,International Atomic Energy Agency,944,1UN005
United Nations High Commissioner for Human Rights (extrabudgetary contributions only),41313,N/A,N/A,N/A
United Nations Economic Commission for Europe (extrabudgetary contributions only),41314,UNECE,948,1UN015
United Nations Office for Disaster Risk Reduction,41315,N/A,N/A,N/A
United Nations Framework Convention on Climate Change,41316,N/A,N/A,N/A
Green Climate Fund,41317,Green Climate Fund,1016,9OTH015
World Tourism Organization,41319,World Tourism Organisation,1023,1UN027
Technology BankÂ forÂ LeastÂ Developed Countries,41320,N/A,N/A,N/A
World Health Organisation - Strategic Preparedness and Response Plan,41321,WHO-Strategic Preparedness and Response Plan,1050,1UN025
Joint Sustainable Development Goals Fund,41402,Joint Sustainable Development Goals Fund,1048,1UN007
COVID-19 Response and Recovery Multi-Partner Trust Fund,41403,COVID-19 Response and Recovery Multi-Partner Trust Fund,1047,1UN002
"United Nations (UN) agency, fund or commission, Other",41999,N/A,N/A,N/A
"United Nations Office for Project Services, Other",41999,N/A,N/A,N/A
European Commission - Development Share of Budget,42001,EU Institutions,918,4EU001
European Commission - European Development Fund,42003,EU Institutions,918,4EU001
European Investment Bank,42004,EU Institutions,918,4EU001
"European Union Institutions, Other",42999,EU Institutions,918,4EU001
International Monetary Fund - Poverty Reduction and Growth Trust,43001,IMF (Concessional Trust Funds),958,5IMF02
"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts]",43002,IMF (Concessional Trust Funds),958,5IMF02
International Monetary Fund - Poverty Reduction and Growth - Multilateral Debt Relief Initiative Trust,43004,IMF (Concessional Trust Funds),958,5IMF02
International Monetary Fund - Post-Catastrophe Debt Relief Trust,43005,IMF (Concessional Trust Funds),958,5IMF02
International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members,43003,IMF (Concessional Trust Funds),958,5IMF02
Catastrophe Containment and Relief Trust,43006,IMF (Concessional Trust Funds),958,5IMF02
IMF's Resilience and Sustainability Trust,43007,IMF Resilience and Sustainability Trust,1058,5IMF03
"International Monetary Fund (IMF), Other",43999,International Monetary Fund,907,5IMF01
International Bank for Reconstruction and Development,44001,International Bank for Reconstruction and Development,901,5WB001
International Development Association,44002,International Development Association,905,5WB002
International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,44003,N/A,N/A,N/A
International Finance Corporation,44004,International Finance Corporation,903,5WBG002
Multilateral Investment Guarantee Agency,44005,Multilateral Investment Guarantee Agency,902,5WB004
Advance Market Commitments,44006,N/A,N/A,N/A
International Development Association - Multilateral Debt Relief Initiative,44007,N/A,N/A,N/A
Partnership for Market Implementation,44008,N/A,N/A,N/A
"World Bank Group (WB), Other",44999,N/A,N/A,N/A
World Trade Organisation - International Trade Centre,45001,WTO - International Trade Centre,1401,1UN029
World Trade Organisation - Advisory Centre on WTO Law,45002,World Trade Organisation,1404,1UN028
World Trade Organisation - Doha Development Agenda Global Trust Fund,45003,World Trade Organisation,1404,1UN028
African Development Bank,46002,African Development Bank,913,5AFDB001
African Development Fund,46003,African Development Fund,914,5AFDB002
Asian Development Bank,46004,Asian Development Bank,915,5ASDB01
Asian Development Fund,46005,Asian Development Bank,915,5ASDB01
Black Sea Trade and Development Bank,46006,Black Sea Trade & Development Bank,981,5RDB002
Central American Bank for Economic Integration,46007,Central American Bank for Economic Integration,910,5RDB003
Development Bank of Latin America,46008,Development Bank of Latin America,1015,5RDB006
Caribbean Development Bank,46009,Caribbean Development Bank,906,5RDB004
"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",46012,IDB Invest,1019,5IDB003
"Inter-American Development Bank, Fund for Special Operations",46013,Inter-American Development Bank,909,5IDB001
European Bank for Reconstruction and Development,46015,European Bank for Reconstruction and Development,990,5RDB007
European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),46016,European Bank for Reconstruction and Development,990,5RDB007
European Bank for Reconstruction and Development - technical co-operation and special funds (all EBRD countries of operations),46017,European Bank for Reconstruction and Development,990,5RDB007
European Bank for Reconstruction and Development - Early Transition Countries Fund,46018,European Bank for Reconstruction and Development,990,5RDB007
European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,46019,European Bank for Reconstruction and Development,990,5RDB007
West African Development Bank,46021,N/A,N/A,N/A
African Export Import Bank,46022,N/A,N/A,N/A
Council of Europe Development Bank,46024,Council of Europe Development Bank,1013,5RDB005
Islamic Development Bank,46025,Islamic Development Bank,976,5RDB009
Asian Infrastructure Investment Bank,46026,Asian Infrastructure Investment Bank,1024,5RDB001
"Regional Development Banks, Other",46999,N/A,N/A,N/A
African Capacity Building Foundation,47001,N/A,N/A,N/A
Asian Productivity Organisation,47002,N/A,N/A,N/A
Association of South East Asian Nations: Economic Co-operation,47003,N/A,N/A,N/A
African Union (excluding peacekeeping facilities),47005,N/A,N/A,N/A
Caribbean Community Secretariat,47011,N/A,N/A,N/A
Commonwealth Foundation,47013,N/A,N/A,N/A
CGIAR Fund,47015,CGIAR,1055,9OTH024
International Centre for Advanced Mediterranean Agronomic Studies,47019,N/A,N/A,N/A
Convention on International Trade in Endangered Species of Wild Flora and Fauna,47022,N/A,N/A,N/A
Commonwealth of Learning,47025,N/A,N/A,N/A
Community of Portuguese Speaking Countries,47026,N/A,N/A,N/A
Colombo Plan,47027,N/A,N/A,N/A
Sahel and West Africa Club,47029,N/A,N/A,N/A
Economic Community of West African States,47034,N/A,N/A,N/A
European and Mediterranean Plant Protection Organisation,47036,N/A,N/A,N/A
Forum Fisheries Agency,47040,N/A,N/A,N/A
Global Environment Facility Trust Fund,47044,Global Environment Facility,811,9OTH011
"Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Global Fund,1312,9OTH012
International Organisation of the Francophonie,47046,N/A,N/A,N/A
International Cotton Advisory Committee,47050,N/A,N/A,N/A
International Institute for Democracy and Electoral Assistance,47058,N/A,N/A,N/A
International Development Law Organisation,47059,N/A,N/A,N/A
Inter-American Institute for Co-operation on Agriculture,47061,N/A,N/A,N/A
International Network for Bamboo and Rattan,47064,N/A,N/A,N/A
Intergovernmental Oceanographic Commission,47065,N/A,N/A,N/A
International Organisation for Migration,47066,N/A,N/A,N/A
Intergovernmental Panel on Climate Change,47067,N/A,N/A,N/A
International Tropical Timber Organisation,47073,N/A,N/A,N/A
International Vaccine Institute,47074,N/A,N/A,N/A
Mekong River Commission,47077,N/A,N/A,N/A
Multilateral Fund for the Implementation of the Montreal Protocol,47078,Montreal Protocol,812,9OTH018
Organisation of American States,47079,Organisation of American States,1056,Ę
Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only),47080,N/A,N/A,N/A
OECD Development Centre,47081,N/A,N/A,N/A
Organisation of Eastern Caribbean States,47082,N/A,N/A,N/A
Pan-American Health Organisation,47083,N/A,N/A,N/A
Pan-American Institute of Geography and History,47084,N/A,N/A,N/A
Private Infrastructure Development Group,47086,Private Infrastructure Development Group,1014,9OTH022
Pacific Islands Forum Secretariat,47087,N/A,N/A,N/A
South East Asian Ministers of Education,47093,N/A,N/A,N/A
Secretariat of the Pacific Community,47096,N/A,N/A,N/A
Pacific Regional Environment Programme,47097,N/A,N/A,N/A
Common Fund for Commodities,47105,N/A,N/A,N/A
Geneva Centre for the Democratic Control of Armed Forces,47106,N/A,N/A,N/A
International Finance Facility for Immunisation,47107,Global Alliance for Vaccines and Immunization,1311,9OTH009
Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities),47109,N/A,N/A,N/A
Organisation of the Black Sea Economic Cooperation,47110,N/A,N/A,N/A
Adaptation Fund,47111,Adaptation Fund,1012,9OTH001
Central European Initiative - Special Fund for Climate and Environmental Protection,47112,N/A,N/A,N/A
Asian Forest Cooperation Organisation,47114,Asian Forest Cooperation Organisation,1053,9OTH004
Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,47116,N/A,N/A,N/A
New Partnership for Africa's Development,47117,N/A,N/A,N/A
United Cities and Local Governments of Africa,47121,N/A,N/A,N/A
Global Alliance for Vaccines and Immunization,47122,Global Alliance for Vaccines and Immunization,1311,9OTH009
Geneva International Centre for Humanitarian Demining,47123,N/A,N/A,N/A
International Anti-Corruption Academy,47124,N/A,N/A,N/A
International Centre for Genetic Engineering and Biotechnology,47125,International Centre for Genetic Engineering and Biotechnology,1052,9OTH016
Nordic Development Fund,47128,Nordic Development Fund,104,9OTH019
Global Environment Facility - Least Developed Countries Fund,47129,Global Environment Facility,811,9OTH011
Global Environment Facility - Special Climate Change Fund,47130,Global Environment Facility,811,9OTH011
Organization for Security and Co-operation in Europe,47131,OSCE,978,9OTH021
Commonwealth Secretariat (ODA-eligible contributions only),47132,N/A,N/A,N/A
Clean Technology Fund,47134,Climate Investment Funds,1011,9OTH006
Strategic Climate Fund,47135,Climate Investment Funds,1011,9OTH006
Global Green Growth Institute,47136,Global Green Growth Institute,1313,9OTH013
Council of Europe,47138,Council of Europe,926, 
World Customs Organization Customs Co-operation Fund,47139,N/A,N/A,N/A
"Organisation of Ibero-American States for Education, Science and Culture",47140,N/A,N/A,N/A
African Tax Administration Forum,47141,N/A,N/A,N/A
OPEC Fund for International Development,47142,OPEC Fund for International Development,951,9OTH020
Global Community Engagement and Resilience Fund,47143,N/A,N/A,N/A
International Renewable Energy Agency,47144,N/A,N/A,N/A
Center of Excellence in Finance,47145,Center of Excellence in Finance,1025,9OTH005
International Investment Bank,47146,International Investment Bank,1037,5RDB008
World Organisation for Animal Health,47148,World Organisation for Animal Health,1054,9OTH023
International Commission on Missing Persons,47149,International Commission on Missing Persons,1049,9OTH017
European Space Agency (ESA) programme 'Space in support of International Development Aid',47400,N/A,N/A,N/A
"Other multilateral institutions, Other",47999,N/A,N/A,N/A
African Risk Capacity Group,47137,N/A,N/A,N/A
Agency for International Trade Information and Co-operation ,21002,N/A,N/A,N/A
Caribbean Epidemiology Centre ,47012,N/A,N/A,N/A
Central African States Development Bank,46020,N/A,N/A,N/A
Eastern and Southern African Trade and Development Bank,46023,N/A,N/A,N/A
Economic and Monetary Community of Central Africa ,47113,N/A,N/A,N/A
Economic and Social Commission for Western Asia,41105,UN Economic and Social Commission for Western Asia,1403,1UN031
Educational Quality and Assessment Programme,47095,N/A,N/A,N/A
Financial Fund for the Development of the River Plate Basin,46027,N/A,N/A,N/A
Global Mechanism,41318,N/A,N/A,N/A
International Finance Facility for Education,47147,N/A,N/A,N/A
Justice Studies Centre of the Americas ,47076,N/A,N/A,N/A
Latin-American Energy Organisation,47127,N/A,N/A,N/A
Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries,47118,N/A,N/A,N/A
Sahara and Sahel Observatory,47119,N/A,N/A,N/A
Secretar’a General Iberoamericana,47150,N/A,N/A,N/A
South Asian Association for Regional Cooperation ,47120,N/A,N/A,N/A
South East Asian Fisheries Development Centre ,47092,N/A,N/A,N/A
Southern African Development Community ,47089,N/A,N/A,N/A
UN-Multi Partner Trust Fund Office,41401,N/A,N/A,N/A
United Nations System Standing Committee on Nutrition ,41132,N/A,N/A,N/A
West African Monetary Union ,47100,N/A,N/A,N/A
Global Partnership for Education,47501,Global Partnership for Education,997,9OTH014