recipient_name,recipient_code,de_recipientcode,region_name,region_code,Region aggregated 1,Region aggregated 2,,,,,,
Türkiye,55,TUR,Europe,10010,Europe,Europe,,,,,,
Kosovo,57,XKV,Europe,10010,Europe,Europe,,,,,,
Serbia,63,SRB,Europe,10010,Europe,Europe,,,,,,
Bosnia and Herzegovina,64,BIH,Europe,10010,Europe,Europe,,,,,,
Montenegro,65,MNE,Europe,10010,Europe,Europe,,,,,,
North Macedonia,66,MKD,Europe,10010,Europe,Europe,,,,,,
Albania,71,ALB,Europe,10010,Europe,Europe,,,,,,
Ukraine,85,UKR,Europe,10010,Europe,Europe,,,,,,
Belarus,86,BLR,Europe,10010,Europe,Europe,,,,,,
States Ex-Yugoslavia unspecified,88,SFRY_X,Europe,10010,Europe,Europe,,,,,,
"Europe, regional",89,E_X,Europe,10010,Europe,Europe,,,,,,
Moldova,93,MDA,Europe,10010,Europe,Europe,,,,,,
Algeria,130,DZA,North of Sahara,10002,North of Sahara,Africa,,,,,,
Libya,133,LBY,North of Sahara,10002,North of Sahara,Africa,,,,,,
Morocco,136,MAR,North of Sahara,10002,North of Sahara,Africa,,,,,,
Tunisia,139,TUN,North of Sahara,10002,North of Sahara,Africa,,,,,,
Egypt,142,EGY,North of Sahara,10002,North of Sahara,Africa,,,,,,
"North of Sahara, regional",189,F4_X,North of Sahara,10002,North of Sahara,Africa,,,,,,
South Africa,218,ZAF,South of Sahara,10003,South of Sahara,Africa,,,,,,
Angola,225,AGO,South of Sahara,10003,South of Sahara,Africa,,,,,,
Botswana,227,BWA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Burundi,228,BDI,South of Sahara,10003,South of Sahara,Africa,,,,,,
Cameroon,229,CMR,South of Sahara,10003,South of Sahara,Africa,,,,,,
Cabo Verde,230,CPV,South of Sahara,10003,South of Sahara,Africa,,,,,,
Central African Republic,231,CAF,South of Sahara,10003,South of Sahara,Africa,,,,,,
Chad,232,TCD,South of Sahara,10003,South of Sahara,Africa,,,,,,
Comoros,233,COM,South of Sahara,10003,South of Sahara,Africa,,,,,,
Congo,234,COG,South of Sahara,10003,South of Sahara,Africa,,,,,,
Democratic Republic of the Congo,235,COD,South of Sahara,10003,South of Sahara,Africa,,,,,,
Benin,236,BEN,South of Sahara,10003,South of Sahara,Africa,,,,,,
Ethiopia,238,ETH,South of Sahara,10003,South of Sahara,Africa,,,,,,
Gabon,239,GAB,South of Sahara,10003,South of Sahara,Africa,,,,,,
Gambia,240,GMB,South of Sahara,10003,South of Sahara,Africa,,,,,,
Ghana,241,GHA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Guinea,243,GIN,South of Sahara,10003,South of Sahara,Africa,,,,,,
Guinea-Bissau,244,GNB,South of Sahara,10003,South of Sahara,Africa,,,,,,
Equatorial Guinea,245,GNQ,South of Sahara,10003,South of Sahara,Africa,,,,,,
Côte d'Ivoire,247,CIV,South of Sahara,10003,South of Sahara,Africa,,,,,,
Kenya,248,KEN,South of Sahara,10003,South of Sahara,Africa,,,,,,
Lesotho,249,LSO,South of Sahara,10003,South of Sahara,Africa,,,,,,
Liberia,251,LBR,South of Sahara,10003,South of Sahara,Africa,,,,,,
Madagascar,252,MDG,South of Sahara,10003,South of Sahara,Africa,,,,,,
Malawi,253,MWI,South of Sahara,10003,South of Sahara,Africa,,,,,,
Mali,255,MLI,South of Sahara,10003,South of Sahara,Africa,,,,,,
Mauritania,256,MRT,South of Sahara,10003,South of Sahara,Africa,,,,,,
Mauritius,257,MUS,South of Sahara,10003,South of Sahara,Africa,,,,,,
Mozambique,259,MOZ,South of Sahara,10003,South of Sahara,Africa,,,,,,
Niger,260,NER,South of Sahara,10003,South of Sahara,Africa,,,,,,
Nigeria,261,NGA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Zimbabwe,265,ZWE,South of Sahara,10003,South of Sahara,Africa,,,,,,
Rwanda,266,RWA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Sao Tome and Principe,268,STP,South of Sahara,10003,South of Sahara,Africa,,,,,,
Senegal,269,SEN,South of Sahara,10003,South of Sahara,Africa,,,,,,
Seychelles,270,SYC,South of Sahara,10003,South of Sahara,Africa,,,,,,
Eritrea,271,ERI,South of Sahara,10003,South of Sahara,Africa,,,,,,
Sierra Leone,272,SLE,South of Sahara,10003,South of Sahara,Africa,,,,,,
Somalia,273,SOM,South of Sahara,10003,South of Sahara,Africa,,,,,,
Djibouti,274,DJI,South of Sahara,10003,South of Sahara,Africa,,,,,,
Namibia,275,NAM,South of Sahara,10003,South of Sahara,Africa,,,,,,
Saint Helena,276,SHN,South of Sahara,10003,South of Sahara,Africa,,,,,,
Sudan,278,SDN,South of Sahara,10003,South of Sahara,Africa,,,,,,
South Sudan,279,SSD,South of Sahara,10003,South of Sahara,Africa,,,,,,
Eswatini,280,SWZ,South of Sahara,10003,South of Sahara,Africa,,,,,,
Tanzania,282,TZA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Togo,283,TGO,South of Sahara,10003,South of Sahara,Africa,,,,,,
Uganda,285,UGA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Burkina Faso,287,BFA,South of Sahara,10003,South of Sahara,Africa,,,,,,
Zambia,288,ZMB,South of Sahara,10003,South of Sahara,Africa,,,,,,
"South of Sahara, regional",289,F6_X,South of Sahara,10003,South of Sahara,Africa,,,,,,
"Africa, regional",298,F_X,"Africa, regional",10001,"Africa, regional",Africa,,,,,,
Costa Rica,336,CRI,Caribbean & Central America,10005,Americas,Americas,,,,,,
Cuba,338,CUB,Caribbean & Central America,10005,Americas,Americas,,,,,,
Dominican Republic,340,DOM,Caribbean & Central America,10005,Americas,Americas,,,,,,
El Salvador,342,SLV,Caribbean & Central America,10005,Americas,Americas,,,,,,
Guatemala,347,GTM,Caribbean & Central America,10005,Americas,Americas,,,,,,
Haiti,349,HTI,Caribbean & Central America,10005,Americas,Americas,,,,,,
Honduras,351,HND,Caribbean & Central America,10005,Americas,Americas,,,,,,
Belize,352,BLZ,Caribbean & Central America,10005,Americas,Americas,,,,,,
Jamaica,354,JAM,Caribbean & Central America,10005,Americas,Americas,,,,,,
Mexico,358,MEX,Caribbean & Central America,10005,Americas,Americas,,,,,,
Nicaragua,364,NIC,Caribbean & Central America,10005,Americas,Americas,,,,,,
Panama,366,PAN,Caribbean & Central America,10005,Americas,Americas,,,,,,
Antigua and Barbuda,377,ATG,Caribbean & Central America,10005,Americas,Americas,,,,,,
Dominica,378,DMA,Caribbean & Central America,10005,Americas,Americas,,,,,,
Grenada,381,GRD,Caribbean & Central America,10005,Americas,Americas,,,,,,
Saint Lucia,383,LCA,Caribbean & Central America,10005,Americas,Americas,,,,,,
Saint Vincent and the Grenadines,384,VCT,Caribbean & Central America,10005,Americas,Americas,,,,,,
Montserrat,385,MSR,Caribbean & Central America,10005,Americas,Americas,,,,,,
"Caribbean & Central America, regional",389,A5_X,Caribbean & Central America,10005,Americas,Americas,,,,,,
Argentina,425,ARG,South America,10006,Americas,Americas,,,,,,
Bolivia,428,BOL,South America,10006,Americas,Americas,,,,,,
Brazil,431,BRA,South America,10006,Americas,Americas,,,,,,
Chile,434,CHL,South America,10006,Americas,Americas,,,,,,
Colombia,437,COL,South America,10006,Americas,Americas,,,,,,
Ecuador,440,ECU,South America,10006,Americas,Americas,,,,,,
Guyana,446,GUY,South America,10006,Americas,Americas,,,,,,
Paraguay,451,PRY,South America,10006,Americas,Americas,,,,,,
Peru,454,PER,South America,10006,Americas,Americas,,,,,,
Suriname,457,SUR,South America,10006,Americas,Americas,,,,,,
Uruguay,460,URY,South America,10006,Americas,Americas,,,,,,
Venezuela,463,VEN,South America,10006,Americas,Americas,,,,,,
"South America, regional",489,A7_X,South America,10006,Americas,Americas,,,,,,
"America, regional",498,A_X,"America, regional",10004,Americas,Americas,,,,,,
Iran,540,IRN,Middle East,10011,Middle East,Asia,,,,,,
Iraq,543,IRQ,Middle East,10011,Middle East,Asia,,,,,,
Jordan,549,JOR,Middle East,10011,Middle East,Asia,,,,,,
West Bank and Gaza Strip,550,PSE,Middle East,10011,Middle East,Asia,,,,,,
Lebanon,555,LBN,Middle East,10011,Middle East,Asia,,,,,,
Syrian Arab Republic,573,SYR,Middle East,10011,Middle East,Asia,,,,,,
Yemen,580,YEM,Middle East,10011,Middle East,Asia,,,,,,
"Middle East, regional",589,F97_X,Middle East,10011,Middle East,Asia,,,,,,
Armenia,610,ARM,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Azerbaijan,611,AZE,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Georgia,612,GEO,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Kazakhstan,613,KAZ,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Kyrgyzstan,614,KGZ,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Tajikistan,615,TJK,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Turkmenistan,616,TKM,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Uzbekistan,617,UZB,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
"Central Asia, regional",619,S4_X,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Afghanistan,625,AFG,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Bhutan,630,BTN,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Myanmar,635,MMR,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Sri Lanka,640,LKA,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
India,645,IND,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Maldives,655,MDV,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Nepal,660,NPL,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Pakistan,665,PAK,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Bangladesh,666,BGD,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
"South Asia, regional",679,S7_X,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
"South & Central Asia, regional",689,S4_S7_X,South & Central Asia,10009,South & Central Asia,Asia,,,,,,
Cambodia,728,KHM,Far East Asia,10008,Far East Asia,Asia,,,,,,
China (People's Republic of),730,CHN,Far East Asia,10008,Far East Asia,Asia,,,,,,
Indonesia,738,IDN,Far East Asia,10008,Far East Asia,Asia,,,,,,
Democratic People's Republic of Korea,740,PRK,Far East Asia,10008,Far East Asia,Asia,,,,,,
Lao People's Democratic Republic,745,LAO,Far East Asia,10008,Far East Asia,Asia,,,,,,
Malaysia,751,MYS,Far East Asia,10008,Far East Asia,Asia,,,,,,
Mongolia,753,MNG,Far East Asia,10008,Far East Asia,Asia,,,,,,
Philippines,755,PHL,Far East Asia,10008,Far East Asia,Asia,,,,,,
Thailand,764,THA,Far East Asia,10008,Far East Asia,Asia,,,,,,
Timor-Leste,765,TLS,Far East Asia,10008,Far East Asia,Asia,,,,,,
Viet Nam,769,VNM,Far East Asia,10008,Far East Asia,Asia,,,,,,
"Far East Asia, regional",789,S97_X,Far East Asia,10008,Far East Asia,Asia,,,,,,
"Asia, regional",798,S_X,"Asia, regional",10007,"Asia, regional",Asia,,,,,,
Cook Islands,831,COK,Oceania,10012,Oceania,Oceania,,,,,,
Fiji,832,FJI,Oceania,10012,Oceania,Oceania,,,,,,
Kiribati,836,KIR,Oceania,10012,Oceania,Oceania,,,,,,
Nauru,845,NRU,Oceania,10012,Oceania,Oceania,,,,,,
Vanuatu,854,VUT,Oceania,10012,Oceania,Oceania,,,,,,
Niue,856,NIU,Oceania,10012,Oceania,Oceania,,,,,,
Marshall Islands,859,MHL,Oceania,10012,Oceania,Oceania,,,,,,
Micronesia,860,FSM,Oceania,10012,Oceania,Oceania,,,,,,
Palau,861,PLW,Oceania,10012,Oceania,Oceania,,,,,,
Papua New Guinea,862,PNG,Oceania,10012,Oceania,Oceania,,,,,,
Solomon Islands,866,SLB,Oceania,10012,Oceania,Oceania,,,,,,
Tokelau,868,TKL,Oceania,10012,Oceania,Oceania,,,,,,
Tonga,870,TON,Oceania,10012,Oceania,Oceania,,,,,,
Tuvalu,872,TUV,Oceania,10012,Oceania,Oceania,,,,,,
Wallis and Futuna,876,WLF,Oceania,10012,Oceania,Oceania,,,,,,
Samoa,880,WSM,Oceania,10012,Oceania,Oceania,,,,,,
"Oceania, regional",889,O_X,Oceania,10012,Oceania,Oceania,,,,,,
"Eastern Africa, regional",1027,F3_X,South of Sahara,10003,South of Sahara,Africa,,,,,,
"Middle Africa, regional",1028,F5_X,South of Sahara,10003,South of Sahara,Africa,,,,,,
"Southern Africa, regional",1029,F7_X,South of Sahara,10003,South of Sahara,Africa,,,,,,
"Western Africa, regional",1030,F8_X,South of Sahara,10003,South of Sahara,Africa,,,,,,
"Caribbean, regional",1031,A4_X,Caribbean & Central America,10005,Americas,Americas,,,,,,
"Central America, regional",1032,A3_X,Caribbean & Central America,10005,Americas,Americas,,,,,,
"Melanesia, regional",1033,O7_X,Oceania,10012,Oceania,Oceania,,,,,,
"Micronesia, regional",1034,O8_X,Oceania,10012,Oceania,Oceania,,,,,,
"Polynesia, regional",1035,O9_X,Oceania,10012,Oceania,Oceania,,,,,,
"Bilateral, unspecified",9998,DPGC_X,Regional and Unspecified,15006,Unspecified,Unspecified,,,,,,